ParkID;Name;Location;Notes;SummerHours;WinterHours
10;Andy Livingstone Park;South side, fieldhouse;;10:00 am - 11:00 pm;10:00 am - 11:00 pm
16;David Lam Park;West side;;10:00 am - Dusk;10:00 am - Dusk
39;Memorial West Park;Central, field house;Caretaker on site;Dawn to Dusk;Dawn to Dusk
67;Burrard View Park;Fieldhouse;No Caretaker;Dawn to Dusk;Dawn to Dusk
73;Hastings Community Park;Central, field house;No Caretaker;Dawn to Dusk;Closed
76;Rupert Park;Pitch & Putt (north side);;Dawn to Dusk;Dawn to Dusk
79;Brewers Park;North east corner fieldhouse;Caretaker on site;Dawn to Dusk;Closed
92;Fraser River Park;West corner;April 1 to October 31;Dawn to Dusk;Closed
110;Hadden Park;West, caretaker house (actually in Kits);No Caretaker;Dawn to Dusk;Dawn to Dusk
120;Vanier Park;Burrard Civic Marina;Sometimes later in summer;Dawn to Dusk;Dawn to Dusk
131;Winona Park;Fieldhouse;Caretaker on site;Dawn to Dusk;Dawn to Dusk
140;Robson Park;;Caretaker on site;Dawn to Dusk;Dawn to Dusk
143;Columbia Park;;;Dawn to Dusk Weekends only;Dawn to Dusk Weekends only
146;Montgomery Park;North east corner;Caretaker on site;Dawn to Dusk;Dawn to Dusk
148;Beaconsfield Park;East side, fieldhouse;Caretaker on site;Dawn to Dusk;Dawn to Dusk
173;VanDusen Botanical Garden;At front entrance;;Hours of operation only;Hours of operation only
173;VanDusen Botanical Garden;Floral hall;;Hours of operation only;Hours of operation only
180;Oppenheimer Park;North east corner;Family washroom available;Tue - Sat 9:00 am - 8:00 pm;Tue - Sat 9:00 am - 5:00 pm
181;Strathcona Park;South side, fieldhouse;;Dawn to Dusk;Dawn to Dusk
191;Bobolink Park;North side, fieldhouse;Caretaker on site;Dawn to Dusk;Dawn to Dusk
201;English Bay Beach Park;Bathhouse;;7:00 am - Dusk;10:00 am - Dusk
206;Stanley Park;3rd Beach, fieldhouse;Wheelchair accessible at parking lot level, Caretaker on site;Dawn to Dusk;Dawn to Dusk
206;Stanley Park;Aquarium plaza;Wheelchair accessible;Dawn to Dusk;Dawn to Dusk
206;Stanley Park;Brockton Oval;Wheelchair accessible, Caretaker on site;Dawn to Dusk;Dawn to Dusk
206;Stanley Park;Chilco;Wheelchair accessible;Dawn to Dusk;Dawn to Dusk
206;Stanley Park;Pitch & Putt Golf Course;Not accessible, key to accessible washroom on west side of Fish House available at ticket booth;Dawn to Dusk;Dawn to Dusk
207;Sunset Beach Park;Concession;Caretaker on site;Dawn to Dusk;7:00 am - Dusk
218;Jericho Beach Park;Service Yard - public exterior attached to service building;;Dawn - 11:00 pm;Dawn - 11:00 pm
219;Locarno Park;Concession at fieldhouse;Caretaker on site;Dawn to Dusk;Dawn to Dusk
220;Spanish Banks Beach Park;West, fieldhouse;;Dawn to Dusk;Dawn to Dusk
2;Carnarvon Park;West side, field house;;Dawn to Dusk;Dawn to Dusk
6;Quilchena Park;North east corner, fieldhouse;Caretaker on site;Dawn to Dusk;Dawn to Dusk
34;Balaclava Park;Central, field house;Caretaker on site;Dawn to Dusk;Dawn to Dusk
65;Adanac Park;East side, fieldhouse;Caretaker on site;Dawn to Dusk;Dawn to Dusk
70;Clinton Park;North east corner, fieldhouse;;Dawn to Dusk;Dawn to Dusk
75;New Brighton Park;South side of pool building;Caretaker on site;Dawn to Dusk;Dawn to Dusk
76;Rupert Park;South side, fieldhouse;Caretaker on site;Dawn to Dusk;Dawn to Dusk
77;Sunrise Park;North west corner, fieldhouse;;Dawn to Dusk;Dawn to Dusk
86;Jones Park;North west corner, fieldhouse;Caretaker on site;Dawn to Dusk;Dawn to Dusk
102;Fraserview Golf Course;Kerr Road @13th hole;;Dawn to Dusk;Dawn to Dusk
112;Kitsilano Beach Park;Kitsilano Showboat concession;Caretaker on site;Dawn to Dusk;Dawn to Dusk
126;Oak Park;East side field house;;Dawn to Dusk;Dawn to Dusk
137;Jonathan Rogers Park;North side, fieldhouse;Caretaker on site;Dawn to Dusk;Dawn to Dusk
151;Collingwood Park;South corner, fieldhouse;;Dawn to Dusk;Dawn to Dusk
157;Norquay Park;West side, field house;No Caretaker;Dawn to Dusk;Dawn to Dusk
161;Slocan Park;North side;;Dawn to Dusk;Dawn to Dusk
166;Prince Edward Park;Sout east corner, fieldhouse;Caretaker on site;Dawn to Dusk;Dawn to Dusk
167;Queen Elizabeth Park;Fieldhouse;No Caretaker;Dawn to Dusk;Dawn to Dusk
167;Queen Elizabeth Park;"Under ""Seasons""";;7:30 am - 9:00 pm;7:30 am - 9:00 pm
187;Moberly Park;South west corner at Community Hall;;Dawn to Dusk;Dawn to Dusk
188;Ross Park;South west corner, fieldhouse;;Dawn to Dusk;Dawn to Dusk
196;Nanaimo Park;North side, fieldhouse;No Caretaker;Dawn to Dusk;Dawn to Dusk
200;Barclay Heritage Square;Barclay Manor (WECC);;Hours of the centre;Hours of the centre
206;Stanley Park;Park Board Main office;Wheelchair accessible;Weekdays only 8:30 am - 5:00 pm;Weekdays only 8:30 am - 5:00 pm
206;Stanley Park;2nd Beach, fieldhouse;Wheelchair accessible;Dawn to Dusk;Dawn to Dusk
206;Stanley Park;Ceperley Picnic Shelter;Wheelchair accessible;Dawn to Dusk;Dawn to Dusk
218;Jericho Beach Park;Concession/fieldhouse;Caretaker on site;Dawn to Dusk;Dawn to Dusk
245;Trillium Park;;;Dawn to 10:15 pm;Dawn to 10:15 pm
8;Trafalgar Park;North side, fieldhouse;Caretaker on site;Dawn to Dusk;Dawn to Dusk
21;Harbour Green Park;Central;;Dawn to Dusk;Dawn to Dusk
28;CRAB Park at Portside;South side at fieldhouse;;Dawn to Dusk;Dawn to Dusk
37;Chaldecott Park;East side fieldhouse;Caretaker on site;Dawn to Dusk;Dawn to Dusk
44;Granville Park;Central, field house;No Caretaker;Dawn to Dusk;Dawn to Dusk
51;Garden Park;North east corner, fieldhouse;Caretaker on site;Dawn to Dusk;Dawn to Dusk
52;Grandview Park;South side;;Dawn to Dusk;Dawn to Dusk
57;Pandora Park;South side, fieldhouse;;9:00 am - 7:00 pm;Closed
62;Victoria Park;West side;;Dawn to Dusk;Dawn to Dusk
64;Woodland Park;Central, field house;Caretaker on site;Dawn to Dusk;Dawn to Dusk
72;Hastings Park;West side, between Slidey Slides Park and Empire Fields;Change rooms are permit only;Dawn to Dusk;Dawn to Dusk
75;New Brighton Park;North east corner, fieldhouse;Caretaker on site;Dawn to Dusk;Dawn to Dusk
84;Grays Park;Centre west by parking lot;;Dawn to Dusk;Closed
85;John Hendry (Trout Lake) Park;At Trout Lake;Caretaker on site;Dawn to Dusk;Dawn to Dusk
91;Elm Park;Central, field house;;Dawn to Dusk;Dawn to Dusk
96;Maple Grove Park;Central, field house;Caretaker on site;Dawn to Dusk;Dawn to Dusk
112;Kitsilano Beach Park;Lifeguard station;;Dawn to Dusk;Dawn to Dusk
114;McBride Park;Central, field house;No Caretaker;Dawn to Dusk;Dawn to Dusk
119;Tatlow Park;South, field house;Caretaker on site;Dawn to Dusk;Dawn to Dusk
153;Falaise Park;Community Hall;Women's is closed Mon - Fri during school days;Dawn to Dusk;Dawn to Dusk
167;Queen Elizabeth Park;Lookout;;7:30 am - 9:00 pm;7:30 am - 9:00 pm
174;Braemar Park;East edge, fieldhouse;Caretaker on site;Dawn to Dusk;Dawn to Dusk
179;MacLean Park;North west corner, fieldhouse;No Caretaker;Dawn to Dusk;Dawn to Dusk
186;Memorial South Park;Oval;No Caretaker;Dawn to Dusk;Dawn to Dusk
194;Gordon Park;East side;Caretaker on site;Dawn to Dusk;Dawn to Dusk
197;Riverfront Park;North side;;Dawn to Dusk;Dawn to Dusk
206;Stanley Park;Fish House;Key to accessible washroom on west side of Fish House available at Pitch and Putt Golf Course ticket booth;Dawn to Dusk;Dawn to Dusk
206;Stanley Park;Info Booth;Wheelchair accessible;Dawn to Dusk;Dawn to Dusk
206;Stanley Park;Lumberman's Arch;Wheelchair accessible;Dawn to Dusk;Dawn to Dusk
206;Stanley Park;Pavilion;Accessible washroom entered from parking lot level, to the left side of the building.;Dawn to Dusk;Dawn to Dusk
206;Stanley Park;Prospect Point;Wheelchair accessible;Dawn to Dusk;Dawn to Dusk
206;Stanley Park;Prospect Point Picnic, fieldhouse;Wheelchair accessible, Caretaker on site;Dawn to Dusk;Dawn to Dusk
206;Stanley Park;Totems;Wheelchair accessible;Dawn to Dusk;Dawn to Dusk
206;Stanley Park;Train, Picnic Shelter;Wheelchair accessible;Dawn to Dusk;Dawn to Dusk
220;Spanish Banks Beach Park;East, fieldhouse;Caretaker on site;Dawn to Dusk;Dawn to Dusk
221;West Point Grey Park;Centre;Caretaker on site;Dawn to Dusk;Dawn to Dusk
