Vancouver — Median Rent by Bedroom Type by Zone
October 2023 Row / Apartment
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
West End/Stanley Park,"1,345",a ,"1,750",a ,"2,328",b ,"3,095",d ,"1,750",a ,
English Bay,"1,434",c ,"1,939",b ,"2,995",c ,**,,"1,925",b ,
Downtown,"1,693",a ,"2,100",a ,"3,000",b ,**,,"2,100",a ,
South Granville/Oak,"1,347",a ,"1,652",a ,"2,182",b ,**,,"1,691",a ,
Kitsilano/Point Grey,"1,438",b ,"1,715",a ,"2,557",b ,"3,650",c ,"1,810",b ,
Westside/Kerrisdale,**,,"1,622",b ,"2,500",b ,**,,"1,940",b ,
Marpole,999,b ,"1,340",b ,"1,650",b ,**,,"1,375",b ,
Mount Pleasant/Renfrew Heights,"1,632",b ,"1,575",a ,"2,250",b ,"3,425",d ,"1,680",a ,
East Hastings,"1,550",b ,"1,500",a ,"2,100",b ,"1,995",b ,"1,600",a ,
Southeast Vancouver,**,,"1,515",b ,"1,800",b ,"2,105",d ,"1,677",b ,
University Endowment Lands,"1,666",a ,"2,050",a ,"2,650",a ,"3,300",a ,"2,550",a ,
Central Park/Metrotown,**,,"1,326",a ,"1,800",a ,"2,200",c ,"1,500",b ,
Southeast Burnaby,950,b ,"1,377",b ,"1,700",b ,**,,"1,438",b ,
North Burnaby,913,c ,"1,600",a ,"2,111",a ,"2,173",c ,"1,700",a ,
New Westminster,"1,300",b ,"1,475",a ,"1,887",b ,"2,513",a ,"1,525",a ,
North Vancouver CY,"1,400",c ,"1,651",b ,"2,164",b ,"2,800",b ,"1,800",b ,
North Vancouver DM,"1,460",a ,"2,173",b ,"2,412",c ,"2,240",c ,"2,228",b ,
West Vancouver,"1,600",b ,"2,174",b ,"3,250",b ,"4,850",a ,"2,300",a ,
Richmond,**,,"1,750",b ,"2,000",b ,"2,500",b ,"1,870",b ,
Delta,874,b ,"1,184",b ,"2,025",c ,"3,000",c ,"1,430",b ,
Surrey,"1,479",c ,"1,479",a ,"1,600",b ,"1,600",b ,"1,550",a ,
White Rock,909,c ,"1,300",b ,"1,599",b ,**,,"1,350",b ,
Langley City and Langley DM,**,,"1,650",b ,"2,050",a ,"1,915",d ,"1,775",b ,
Tri-Cities,**,,"1,615",b ,"2,038",b ,"2,850",d ,"1,750",a ,
Maple Ridge/Pitt Meadows,**,,"1,400",b ,"1,497",b ,"2,200",a ,"1,484",a ,
Vancouver,"1,424",a ,"1,640",a ,"2,100",a ,"2,350",a ,"1,715",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
"CMA, CA and CSD definitions are based on 2021 Census Geography Definitions"
Source,CMHC Rental Market Survey
